sample	class
normal_1	normal
normal_2	normal
normal_3	normal
normal_4	normal
normal_5	normal
normal_6	normal
normal_7	normal
normal_8	normal
normal_9	normal
normal_10	normal
normal_11	normal
normal_12	normal
normal_13	normal
normal_14	normal
normal_15	normal
normal_16	normal
normal_17	normal
normal_18	normal
normal_19	normal
normal_20	normal
normal_21	normal
normal_22	normal
normal_23	normal
normal_24	normal
normal_25	normal
normal_26	normal
normal_27	normal
normal_28	normal
normal_29	normal
normal_30	normal
normal_31	normal
normal_32	normal
normal_33	normal
normal_34	normal
normal_35	normal
normal_36	normal
normal_37	normal
normal_38	normal
normal_39	normal
normal_40	normal
normal_41	normal
normal_42	normal
normal_43	normal
normal_44	normal
normal_45	normal
normal_46	normal
normal_47	normal
normal_48	normal
normal_49	normal
normal_50	normal
tumor_51	tumor
tumor_52	tumor
tumor_53	tumor
tumor_54	tumor
tumor_55	tumor
tumor_56	tumor
tumor_57	tumor
tumor_58	tumor
tumor_59	tumor
tumor_60	tumor
tumor_61	tumor
tumor_62	tumor
tumor_63	tumor
tumor_64	tumor
tumor_65	tumor
tumor_66	tumor
tumor_67	tumor
tumor_68	tumor
tumor_69	tumor
tumor_70	tumor
tumor_71	tumor
tumor_72	tumor
tumor_73	tumor
tumor_74	tumor
tumor_75	tumor
tumor_76	tumor
tumor_77	tumor
tumor_78	tumor
tumor_79	tumor
tumor_80	tumor
tumor_81	tumor
tumor_82	tumor
tumor_83	tumor
tumor_84	tumor
tumor_85	tumor
tumor_86	tumor
tumor_87	tumor
tumor_88	tumor
tumor_89	tumor
tumor_90	tumor
tumor_91	tumor
tumor_92	tumor
tumor_93	tumor
tumor_94	tumor
tumor_95	tumor
tumor_96	tumor
tumor_97	tumor
tumor_98	tumor
tumor_99	tumor
tumor_100	tumor
tumor_101	tumor
tumor_102	tumor
